1897237,12,4/18/2011,4:12:39 AM,58,32
1897236,12,4/18/2011,8:47:29 PM,38,32
1897234,12,4/18/2011,9:01:37 PM,52,32
1897233,12,4/18/2011,10:08:02 PM,80,25
1897232,12,4/18/2011,11:12:14 PM,97,25
1358748,57,5/26/2010,12:40:12 PM,45,15
1358747,57,5/26/2010,12:41:02 PM,228,22
1358746,57,5/26/2010,12:45:08 PM,57,23
1358745,57,5/26/2010,12:45:55 PM,45,15
1358744,57,5/26/2010,1:44:58 PM,224,15
1358654,57,6/6/2010,10:52:09 AM,124,22
1358653,57,6/6/2010,10:52:27 AM,15,23
1358652,57,6/6/2010,10:52:40 AM,224,22
1358651,57,6/6/2010,10:52:53 AM,208,22
1358650,57,6/6/2010,11:33:13 AM,224,22
1358649,57,6/6/2010,11:33:30 AM,226,22
1358648,57,6/6/2010,11:33:48 AM,228,22
1358647,57,6/6/2010,11:34:09 AM,15,22
1358646,57,6/6/2010,12:29:24 PM,47,22
1356421,57,6/5/2011,10:52:27 AM,224,16
1356420,57,6/5/2011,10:53:09 AM,228,15
17681755,82,4/16/2010,3:16:49 AM,45,34
17681754,82,4/16/2010,4:49:20 AM,47,32
17681753,82,4/16/2010,12:02:36 PM,16,32
17681752,82,4/16/2010,12:55:44 PM,230,32
17681751,82,4/16/2010,2:44:26 PM,32,32
17681750,82,4/16/2010,3:02:56 PM,52,32
23065896,101,6/18/2010,4:45:38 AM,154,25
23065895,101,6/18/2010,2:49:06 PM,58,32
23065894,101,6/18/2010,4:30:34 PM,23,25
23065893,101,6/18/2010,4:31:31 PM,363,25
23065892,101,6/18/2010,5:53:01 PM,45,34
17347835,111,9/4/2010,2:20:59 AM,58,32
17347834,111,9/4/2010,2:21:27 AM,56,32
17347833,111,9/4/2010,4:29:05 AM,241,32
17347832,111,9/4/2010,5:12:35 PM,38,25
17347831,111,9/4/2010,6:17:29 PM,908,25
17347830,111,9/4/2010,6:18:43 PM,23,25
1753398,151,5/15/2010,10:19:18 PM,95,40
1753397,151,5/15/2010,10:22:07 PM,38,40
1753396,151,5/15/2010,10:24:15 PM,56,40
1753395,151,5/15/2010,10:27:10 PM,95,33
1753394,151,5/15/2010,10:28:13 PM,20,33
1753393,151,5/15/2010,10:39:57 PM,121,32
1753392,151,5/15/2010,10:41:37 PM,95,25
1753391,151,5/15/2010,10:43:06 PM,121,25
1753390,151,5/15/2010,11:04:40 PM,52,25
1753389,151,5/15/2010,11:05:43 PM,49,25
1753388,151,5/15/2010,11:08:20 PM,16,25
1753387,151,5/15/2010,11:09:35 PM,121,25
1753384,151,5/15/2010,11:13:02 PM,154,25
1753383,151,5/15/2010,11:14:42 PM,221,25
1753382,151,5/15/2010,11:15:38 PM,102,25
1753381,151,5/15/2010,11:16:24 PM,154,25
1753380,151,5/15/2010,11:17:10 PM,26,25
1753379,151,5/15/2010,11:18:10 PM,24,25
1753378,151,5/15/2010,11:19:45 PM,1,25
1753377,151,5/15/2010,11:20:55 PM,154,25
1753376,151,5/15/2010,11:22:19 PM,221,25
1753375,151,5/15/2010,11:23:32 PM,207,25
1753374,151,5/15/2010,11:32:35 PM,121,25
1753367,151,5/15/2010,11:40:02 PM,184,25
1753366,151,5/15/2010,11:41:06 PM,121,25
1753360,151,5/15/2010,11:47:18 PM,166,25
1753359,151,5/15/2010,11:48:25 PM,20,25
1753358,151,5/15/2010,11:49:14 PM,121,25
1753356,151,5/15/2010,11:51:34 PM,29,25
1753355,151,5/15/2010,11:52:36 PM,121,25
1753353,151,5/15/2010,11:54:40 PM,60,25
1753352,151,5/16/2010,2:35:14 PM,662,25
1753351,151,5/16/2010,2:36:18 PM,164,25
1753350,151,5/16/2010,2:37:30 PM,103,25
1753349,151,5/16/2010,2:38:47 PM,165,25
1753346,151,5/17/2010,6:24:38 PM,18,40
1753345,151,5/17/2010,7:01:07 PM,121,25
1753344,151,5/17/2010,7:02:17 PM,164,25
1753343,151,5/17/2010,7:08:00 PM,465,32
1753342,151,5/17/2010,7:32:04 PM,60,32
1753341,151,5/17/2010,7:36:49 PM,23,32
1753340,151,5/17/2010,7:37:45 PM,22,32
