7,936,5,12,25
936,5,12,942,25
3,13,12,178,25
13,12,178,4,32
12,178,4,7,32
178,4,7,218,32
4,7,218,936,25
3,936,199,942,21
7,7,7,13,25
7,7,13,205,32
7,13,205,13,32
13,205,13,936,25
12,7,7,942,32
7,7,942,6,25
7,942,6,7,25
3,199,7,7,21
199,7,7,6,25
7,7,6,13,25
7,6,13,935,32
6,13,935,7,32
4,7,936,942,25
7,936,942,7,25
936,942,7,199,25
942,7,199,7,25
7,199,7,3,25
7,936,7,199,25
936,7,199,12,25
7,199,12,4,32
5,4,7,218,25
4,7,218,935,25
7,218,935,936,32
925,936,178,80,32
4,7,4,12,25
7,4,12,3,32
7,936,12,6,25
936,12,6,936,32
12,6,936,928,32
6,936,928,199,32
936,928,199,7,25
928,199,7,4,25
127,7,199,7,25
7,199,7,5,25
13,12,199,35,32
12,199,35,6,32
199,35,6,6,25
35,6,6,942,25
6,6,942,6,32
6,942,6,12,32
199,13,3,13,25
13,3,13,935,17
3,13,935,13,25
13,935,13,942,25
935,13,942,942,25
13,942,942,207,25
942,942,207,13,25
942,207,13,5,24
12,13,936,13,32
13,936,13,12,25
936,13,12,935,25
13,12,935,935,32
6,7,7,6,25
7,7,6,12,32
3,3,199,4,32
3,199,4,199,32
199,4,199,7,32
4,199,7,936,32
199,7,936,942,32
7,936,942,935,25
936,942,935,7,32
3,3,925,7,21
3,199,13,12,34
199,13,12,7,33
12,12,936,13,32
12,936,13,6,32
936,13,6,6,32
13,6,6,942,32
6,6,942,7,32
6,942,7,6,32
942,7,6,3,25
7,6,3,7,25
936,13,5,942,25
13,5,942,935,25
5,942,935,5,32
942,935,5,199,32
935,5,199,936,32
5,199,936,13,32
199,936,13,936,32
936,13,7,13,25
13,7,13,7,25
7,13,7,6,25
13,7,6,7,25
7,6,7,942,25
7,205,935,942,32
205,935,942,935,25
935,942,935,13,32
942,935,13,942,32
935,13,942,942,32
13,942,942,5,32
942,942,5,935,32
942,5,935,935,32
5,935,935,942,32
935,935,942,13,32
935,942,13,13,32
942,13,13,942,32
13,13,942,942,32
13,942,942,5,32
942,942,5,942,32
942,5,942,5,32
5,942,5,942,32
942,5,942,935,32
5,942,935,12,32
942,935,12,942,32
935,12,942,942,32
12,942,942,935,32
942,942,935,13,32
942,935,13,942,32
935,13,942,5,32
13,942,5,12,32
942,5,12,199,32
5,12,199,35,32
12,199,35,12,32
199,35,12,13,32
35,12,13,205,32
12,13,205,13,32
13,205,13,936,32
205,13,936,5,32
13,936,5,942,25
936,3,936,7,25
3,936,7,12,25
936,7,12,205,25
7,12,205,935,32
12,205,935,6,32
205,935,6,12,32
935,6,12,80,32
6,12,80,6,32
12,80,6,6,32
80,6,6,942,32
6,6,942,925,32
12,12,936,942,32
12,936,942,7,32
936,942,7,12,32
942,7,12,13,32
7,12,13,942,32
12,13,942,5,32
13,942,5,13,32
942,5,13,935,32
5,13,935,21,32
13,935,21,6,32
935,21,6,942,32
21,6,942,4,32
6,942,4,7,25
942,4,7,942,25
4,7,942,3,26
7,942,3,199,18
942,3,199,12,18
3,199,12,5,25
7,942,5,942,32
942,5,942,5,32
5,942,5,935,32
942,5,935,942,32
5,935,942,199,32
935,942,199,6,32
942,199,6,935,32
199,6,935,127,32
6,935,127,6,25
935,127,6,936,25
127,6,936,7,25
6,936,7,13,25
936,7,13,7,25
7,13,7,5,25
13,7,5,935,32
7,5,935,13,32
5,935,13,6,32
935,13,6,936,32
936,7,936,13,25
7,936,13,205,25
936,13,205,7,25
13,205,7,3,32
3,7,6,936,34
7,4,205,7,25
4,205,7,7,25
6,925,199,7,25
925,199,7,7,25
6,7,4,12,18
7,4,12,925,18
4,12,925,3,18
12,925,3,5,18
925,3,5,936,18
3,5,936,7,25
7,4,4,6,25
4,4,6,935,25
4,6,935,7,25
6,935,7,6,25
935,7,6,12,25
7,6,12,5,25
7,199,12,6,18
199,12,6,936,25
12,6,936,12,32
925,7,7,6,32
7,7,6,942,32
7,6,942,936,32
6,942,936,7,25
942,936,7,12,25
3,3,936,3,34
6,6,7,4,18
7,936,178,4,18
7,936,7,936,25
936,7,936,925,25
178,4,4,3,25
4,4,3,7,25
7,4,4,3,25
3,7,205,936,25
7,205,936,936,25
7,7,936,4,32
7,936,4,3,32
3,936,7,7,34
13,13,5,178,25
13,5,178,7,25
5,178,7,6,25
925,4,4,936,25
4,4,936,7,25
4,936,7,7,25
7,7,199,7,32
7,199,7,7,32
6,35,7,6,25
35,7,6,6,25
7,6,6,35,18
6,7,7,936,18
7,7,936,925,18
7,6,6,7,18
6,6,7,178,18
6,7,178,7,25
7,35,199,6,32
35,199,6,6,32
6,3,45,3,16
3,45,3,3,16
45,3,3,936,16
3,3,936,3,23
3,936,3,7,32
936,3,7,7,32
3,7,7,12,32
7,7,12,199,31
7,12,199,6,32
12,199,6,21,32
199,6,21,7,32
6,21,7,3,32
21,7,3,7,32
7,3,7,35,32
3,7,35,925,32
7,35,925,7,32
35,925,7,7,32
925,7,7,7,32
7,7,7,12,32
7,7,12,7,32
7,12,7,7,32
12,7,7,7,32
7,7,7,925,32
7,7,925,6,32
7,925,6,3,32
925,6,3,4,32
6,3,4,6,25
3,4,6,7,15
4,6,7,925,25
6,7,925,218,25
7,925,218,7,25
925,218,7,199,25
218,7,199,934,25
7,199,934,199,25
199,934,199,6,25
934,199,6,6,25
199,6,6,936,25
6,6,936,935,25
6,936,935,936,32
936,935,936,12,25
935,936,12,13,32
936,12,13,936,32
12,13,936,936,32
13,936,936,12,32
936,936,12,6,32
936,12,6,6,32
12,6,6,6,32
6,6,6,35,32
6,6,35,12,32
6,35,12,5,32
35,12,5,35,32
12,5,35,7,32
5,35,7,5,32
35,7,5,7,32
7,5,7,935,32
5,7,935,942,32
7,935,942,935,32
935,942,935,7,32
942,935,7,35,32
935,7,35,935,32
7,35,935,935,32
35,935,935,5,32
935,935,5,935,32
935,5,935,935,32
5,935,935,12,32
935,935,12,6,32
935,12,6,35,32
12,6,35,936,32
6,35,936,35,32
35,936,35,6,32
936,35,6,6,32
35,6,6,6,32
6,6,6,936,32
6,6,936,925,32
6,936,925,936,32
936,925,936,7,25
925,936,7,936,25
936,7,936,12,25
7,936,12,3,25
936,12,3,199,25
12,3,199,4,32
3,199,4,936,32
199,4,936,7,32
4,936,7,6,32
936,7,6,12,32
7,6,12,936,32
6,12,936,7,32
12,936,7,7,32
936,7,7,7,32
7,7,7,4,32
7,7,4,936,32
7,4,936,12,32
4,936,12,7,32
936,12,7,4,32
12,7,4,199,32
7,4,199,7,32
4,199,7,925,32
199,7,925,936,32
7,925,936,936,32
925,936,936,936,32
936,936,936,936,32
936,936,936,936,32
936,936,936,936,32
936,936,936,936,32
936,936,936,936,32
936,936,936,935,32
936,936,935,935,32
936,935,935,935,32
935,935,935,935,32
935,935,935,935,32
935,935,935,935,32
935,935,935,935,32
935,935,935,935,32
935,935,935,12,32
935,935,12,12,32
935,12,12,12,32
12,12,12,4,32
12,12,4,12,32
12,4,12,7,32
4,12,7,7,32
12,7,7,7,32
7,7,7,7,32
7,7,7,7,32
7,7,7,925,32
7,7,925,7,32
7,925,7,7,32
925,7,7,7,32
7,7,7,7,32
7,7,7,925,32
7,7,925,4,32
7,925,4,4,32
925,4,4,4,32
4,4,4,4,32
4,4,4,4,32
4,4,4,4,32
4,4,4,4,32
4,4,4,4,32
4,4,4,4,32
4,4,4,4,32
4,4,4,13,32
4,4,13,6,32
4,13,6,6,32
13,6,6,3,32
6,6,3,3,32
6,3,3,3,32
3,3,3,7,32
3,3,7,7,32
3,7,7,7,32
7,7,7,925,25
7,7,925,7,25
7,925,7,7,25
925,7,7,7,32
7,7,7,7,25
7,7,7,7,25
7,7,7,6,25
7,7,6,7,25
7,6,7,936,25
6,7,936,4,25
7,936,4,7,25
936,4,7,4,25
4,7,4,7,25
7,4,7,7,25
4,7,7,6,25
7,7,6,7,25
7,6,7,7,25
6,7,7,218,25
7,7,218,936,25
7,218,936,12,25
218,936,12,936,25
936,12,936,199,25
12,936,199,928,32
936,199,928,936,32
199,928,936,935,25
928,936,935,133,25
936,935,133,6,25
935,133,6,12,25
133,6,12,12,25
6,12,12,6,25
12,12,6,12,32
12,6,12,5,32
6,12,5,12,25
12,5,12,12,25
5,12,12,7,25
12,12,7,7,25
12,7,7,925,25
7,7,925,7,25
7,925,7,7,25
925,7,7,7,25
7,7,7,4,25
7,7,4,4,25
7,4,4,4,25
4,4,4,4,25
4,4,4,6,25
4,4,6,6,25
4,6,6,6,32
6,6,6,6,25
6,6,6,6,25
6,6,6,6,25
6,6,6,6,25
6,6,6,6,25
6,6,6,6,25
6,6,6,6,25
6,6,6,6,25
6,6,6,6,25
6,6,6,6,25
6,6,6,3,32
6,6,3,3,25
6,3,3,3,25
3,3,3,3,25
3,3,3,3,25
3,3,3,3,25
3,3,3,7,25
3,3,7,925,25
3,7,925,21,25
7,925,21,7,25
925,21,7,936,32
21,7,936,936,25
7,936,936,935,25
936,936,935,935,32
936,935,935,935,32
935,935,935,942,32
935,935,942,936,32
935,942,936,935,32
942,936,935,199,25
936,935,199,3,25
7,7,7,6,32
7,7,6,7,32
7,6,7,4,32
6,7,4,199,32
7,4,199,3,32
4,199,3,3,32
199,3,3,6,32
3,3,6,199,32
3,6,199,13,32
6,199,13,12,32
199,13,12,6,32
13,12,6,6,32
12,7,199,936,32
7,199,936,4,32
199,936,4,199,32
936,4,199,936,32
4,199,936,13,32
199,936,13,936,32
936,13,936,936,32
13,936,936,12,32
936,936,12,12,32
936,12,12,4,32
12,12,4,7,32
12,4,7,936,32
4,7,936,4,32
7,936,4,7,32
936,4,7,4,32
4,7,4,7,32
7,4,7,7,32
4,7,7,7,32
7,7,7,7,32
7,7,7,199,32
7,7,199,936,32
7,199,936,7,32
199,936,7,133,32
936,7,133,7,32
7,133,7,925,32
133,7,925,7,32
7,925,7,935,32
925,7,935,7,32
7,935,7,7,32
935,7,7,7,32
7,7,7,4,32
7,7,4,925,32
7,4,925,12,32
4,925,12,12,32
925,12,12,936,32
12,12,936,4,32
12,936,4,199,32
936,4,199,936,32
4,199,936,935,32
199,936,935,13,32
936,935,13,935,32
935,13,935,13,32
13,935,13,935,32
935,13,935,935,32
13,935,935,935,32
935,935,935,935,32
935,935,935,207,32
935,935,207,935,32
935,207,935,12,32
207,935,12,133,32
935,12,133,127,32
12,133,127,127,32
133,127,127,12,32
127,127,12,12,32
127,12,12,12,32
12,12,12,4,32
12,12,4,12,32
12,4,12,936,32
4,12,936,12,32
12,936,12,7,32
936,12,7,7,32
12,7,7,7,32
7,7,7,4,32
7,7,4,5,32
7,4,5,13,32
4,5,13,5,32
5,13,5,935,32
13,5,935,942,32
5,935,942,942,32
935,942,942,5,32
942,942,5,13,32
942,5,13,5,32
5,13,5,942,32
13,5,942,12,32
5,942,12,5,32
942,12,5,13,32
12,5,13,12,32
5,13,12,5,32
13,12,5,12,32
12,5,12,5,32
5,12,5,935,32
12,5,935,218,32
5,935,218,6,32
935,218,6,199,32
218,6,199,199,32
6,199,199,199,32
199,199,199,925,32
199,199,925,7,32
199,925,7,199,32
925,7,199,35,32
7,199,35,7,32
199,35,7,7,32
35,7,7,7,32
7,7,7,7,32
7,7,7,199,32
7,7,199,4,32
7,199,4,7,32
199,4,7,4,32
4,7,4,4,32
7,4,4,7,32
4,4,7,936,32
4,7,936,205,32
7,936,205,936,32
936,205,936,13,32
205,936,13,936,32
936,13,936,21,32
13,936,21,936,32
936,21,936,13,32
21,936,13,936,32
936,13,936,205,32
13,936,205,936,32
936,205,936,21,32
205,936,21,21,32
936,21,21,12,32
21,21,12,935,32
21,12,935,935,32
12,935,935,935,32
935,935,935,207,32
935,935,207,935,32
935,207,935,935,32
207,935,935,80,32
935,935,80,935,32
935,80,935,935,32
80,935,935,207,32
935,935,207,935,32
935,207,935,13,32
207,935,13,935,32
935,13,935,12,32
13,935,12,12,32
935,12,12,133,32
12,12,133,12,32
12,133,12,6,32
133,12,6,12,32
12,6,12,13,32
6,12,13,12,32
12,13,12,13,32
13,12,13,12,32
12,13,12,12,32
13,12,12,12,32
12,12,12,12,32
12,12,12,12,32
12,12,12,12,32
12,12,12,4,32
12,12,4,12,32
12,4,12,12,32
4,12,12,12,32
12,12,12,12,32
12,12,12,12,32
12,12,12,12,32
12,12,12,12,32
12,12,12,7,32
12,12,7,7,32
12,7,7,7,32
7,7,7,7,32
7,7,7,7,32
7,7,7,7,32
7,7,7,7,32
7,7,7,7,32
7,7,7,7,32
7,7,7,7,32
7,7,7,7,32
7,7,7,7,32
7,7,7,7,32
7,7,7,7,32
7,7,7,7,32
7,7,7,7,32
7,7,7,7,32
7,7,7,7,32
7,7,7,4,32
7,7,4,4,32
7,4,4,4,32
4,4,4,4,32
4,4,4,4,32
4,4,4,4,32
4,4,4,4,32
4,4,4,4,32
4,4,4,4,32
4,4,4,4,32
4,4,4,4,32
4,4,4,4,32
4,4,4,4,32
4,4,4,4,32
4,4,4,4,32
4,4,4,4,32
4,4,4,4,32
4,4,4,4,32
4,4,4,4,32
4,4,4,4,32
4,4,4,4,32
4,4,4,4,32
4,4,4,4,32
4,4,4,4,32
4,4,4,4,32
4,4,4,4,32
4,4,4,4,32
4,4,4,4,32
4,4,4,4,32
4,4,4,13,32
4,4,13,5,32
4,13,5,13,32
13,5,13,5,32
5,13,5,5,32
13,5,5,928,32
5,5,928,5,32
5,928,5,935,32
928,5,935,13,32
5,935,13,6,32
935,13,6,6,32
13,6,6,35,32
6,6,35,35,32
6,35,35,6,32
35,35,6,6,32
35,6,6,6,32
6,6,6,6,32
6,6,6,6,32
6,6,6,6,32
6,6,6,6,32
6,6,6,6,32
6,6,6,6,32
6,6,6,6,32
6,6,6,191,32
6,6,191,6,32
6,191,6,6,32
191,6,6,218,32
6,6,218,6,32
6,218,6,199,32
218,6,199,199,32
6,199,199,199,32
199,199,199,199,32
199,199,199,4,32
199,199,4,12,32
199,4,12,80,32
4,12,80,12,25
12,80,12,942,25
80,12,942,80,25
12,942,80,936,25
942,80,936,7,25
80,936,7,7,25
936,7,7,12,25
7,7,12,133,25
7,12,133,6,25
12,133,6,6,25
133,6,6,191,25
6,6,191,35,25
6,191,35,6,25
191,35,6,6,25
35,6,6,3,25
6,6,3,6,25
6,3,6,6,25
