230,2
363,3
64,4
121,5
373,6
58,7
38,8
95,9
60,10
32,11
204,12
26,13
154,14
232,15
23,16
45,17
47,18
155,19
1,20
63,21
22,22
166,23
80,24
110,25
11,26
16,27
49,28
124,29
433,30
61,31
51,32
86,33
82,34
98,35
24,36
101,37
56,38
234,39
52,40
159,41
180,42
167,43
62,44
662,45
134,46
19,47
462,48
240,49
394,50
103,51
172,52
41,53
73,54
50,55
661,56
128,57
46,58
236,59
225,60
663,61
917,62
37,63
116,64
114,65
40,66
185,67
165,68
33,69
222,70
171,71
29,72
31,73
214,74
54,75
445,76
449,77
15,78
17,79
25,80
71,81
907,82
465,83
18,84
241,85
164,86
115,87
412,88
27,89
36,90
186,91
224,92
434,93
187,94
28,95
81,96
123,97
367,98
35,99
106,100
437,101
239,102
57,103
100,104
117,105
20,106
221,107
926,108
215,109
34,110
470,111
102,112
96,113
150,114
59,115
188,116
868,117
161,118
130,119
97,120
193,121
436,122
454,123
202,124
201,125
235,126
136,127
153,128
118,129
163,130
93,131
119,132
243,133
146,134
30,135
138,136
152,137
151,138
105,139
181,140
183,141
43,142
388,143
67,144
68,145
170,146
213,147
135,148
74,149
160,150
83,151
79,152
217,153
192,154
360,155
908,156
458,157
210,158
406,159
422,160
184,161
379,162
53,163
223,164
474,165
109,166
99,167
75,168
464,169
149,170
65,171
212,172
77,173
392,174
55,175
85,176
216,177
141,178
143,179
380,180
384,181
194,182
176,183
386,184
364,185
113,186
218,187
125,188
391,189
452,190
362,191
92,192
227,193
91,194
909,195
450,196
443,197
378,198
226,199
162,200
228,201
44,202
94,203
208,204
902,205
356,206
112,207
207,208
42,209
244,210
911,211
408,212
460,213
182,214
453,215
415,216
88,217
355,218
126,219
219,220
48,221
190,222
473,223
72,224
142,225
173,226
370,227
913,228
359,229
87,230
39,231
139,232
178,233
238,234
132,235
177,236
407,237
920,238
438,239
451,240
237,241
84,242
200,243
90,244
89,245
145,246
147,247
471,248
389,249
361,250
349,251
357,252
350,253
189,254
418,255
457,256
157,257
229,258
904,259
368,260
372,261
469,262
468,263
387,264
76,265
199,266
242,267
912,268
211,269
70,270
148,271
426,272
209,273
205,274
466,275
446,276
417,277
21,278
369,279
439,280
455,281
78,282
220,283
420,284
69,285
411,286
390,287
140,288
191,289
365,290
371,291
442,292
347,293
448,294
441,295
413,296
352,297
354,298
366,299
905,300
410,301
456,302
869,303
472,304
374,305
137,306
399,307
111,308
