1,1,1,2,2,3,4,5,25
6,7,4,8,9,1,10,2,25
6,11,1,1,12,7,13,1,21
9,1,2,5,1,11,1,6,25
1,2,4,12,12,2,14,11,25
2,4,12,12,2,14,11,1,32
4,12,12,2,14,11,1,9,32
7,4,11,15,12,12,5,12,32
4,11,15,12,12,5,12,4,32
11,7,6,7,13,13,7,5,25
7,6,7,13,13,7,5,5,17
6,7,13,13,7,5,5,5,25
7,13,13,7,5,5,5,16,25
13,13,7,5,5,5,16,7,25
13,7,5,5,5,16,7,3,25
6,6,11,9,11,1,2,5,32
6,11,9,11,1,2,5,5,32
11,9,11,1,2,5,5,5,32
9,11,1,2,5,5,5,5,32
11,1,2,5,5,5,5,13,32
1,2,5,5,5,5,13,1,25
1,1,17,18,17,17,1,11,22
2,7,3,5,13,3,11,2,25
7,3,5,13,3,11,2,2,25
3,5,13,3,11,2,2,2,32
5,13,3,11,2,2,2,2,32
13,3,11,2,2,2,2,2,32
3,11,2,2,2,2,2,2,32
11,2,2,2,2,2,2,7,32
2,2,2,2,2,2,7,2,25
2,7,1,7,1,12,1,5,25
1,18,13,5,5,5,13,13,32
18,13,5,5,5,13,13,7,25
13,5,5,5,13,13,7,5,32
5,5,5,13,13,7,5,5,32
5,5,13,13,7,5,5,3,32
5,13,13,7,5,5,3,13,32
13,13,7,5,5,3,13,13,32
13,7,5,5,3,13,13,13,32
7,5,5,3,13,13,13,5,32
5,5,3,13,13,13,5,7,32
5,3,13,13,13,5,7,7,32
3,13,13,13,5,7,7,5,32
13,13,13,5,7,7,5,5,32
13,13,5,7,7,5,5,3,32
13,5,7,7,5,5,3,5,32
5,7,7,5,5,3,5,3,32
7,7,5,5,3,5,3,3,32
7,5,5,3,5,3,3,3,32
5,5,3,5,3,3,3,3,32
5,3,5,3,3,3,3,5,32
3,5,3,3,3,3,5,13,32
5,3,3,3,3,5,13,4,32
3,3,3,3,5,13,4,5,32
3,3,3,5,13,4,5,5,32
3,3,5,13,4,5,5,13,32
3,5,13,4,5,5,13,7,32
5,13,4,5,5,13,7,5,32
13,4,5,5,13,7,5,3,32
4,5,5,13,7,5,3,4,32
5,5,13,7,5,3,4,4,32
5,13,7,5,3,4,4,11,32
13,7,5,3,4,4,11,15,32
7,5,3,4,4,11,15,4,32
5,3,4,4,11,15,4,7,32
3,4,4,11,15,4,7,18,32
4,4,11,15,4,7,18,7,32
4,11,15,4,7,18,7,2,32
11,15,4,7,18,7,2,3,32
15,4,7,18,7,2,3,5,32
2,6,2,1,4,4,18,13,25
6,2,1,4,4,18,13,12,25
2,1,4,4,18,13,12,4,25
1,4,4,18,13,12,4,19,32
4,4,18,13,12,4,19,12,32
4,18,13,12,4,19,12,12,32
18,13,12,4,19,12,12,5,32
13,12,4,19,12,12,5,20,32
4,4,2,5,1,4,7,5,32
4,2,5,1,4,7,5,5,32
2,5,1,4,7,5,5,3,32
5,1,4,7,5,5,3,7,32
1,4,7,5,5,3,7,13,32
4,7,5,5,3,7,13,21,32
7,5,5,3,7,13,21,12,32
5,5,3,7,13,21,12,5,32
5,3,7,13,21,12,5,9,32
3,7,13,21,12,5,9,1,32
7,13,21,12,5,9,1,5,32
13,21,12,5,9,1,5,6,32
21,12,5,9,1,5,6,11,32
12,5,9,1,5,6,11,4,25
5,9,1,5,6,11,4,3,25
1,5,5,5,5,5,5,5,32
5,5,5,5,5,5,5,3,32
5,5,5,5,5,5,3,5,32
5,5,5,5,5,3,5,5,32
5,5,5,5,3,5,5,5,32
5,5,5,3,5,5,5,5,32
5,5,3,5,5,5,5,5,32
5,3,5,5,5,5,5,5,32
3,5,5,5,5,5,5,3,32
5,5,5,5,5,5,3,13,32
5,5,5,5,5,3,13,5,32
5,5,5,5,3,13,5,11,32
5,5,5,3,13,5,11,12,32
5,5,3,13,5,11,12,13,32
5,3,13,5,11,12,13,22,32
3,13,5,11,12,13,22,12,32
13,5,11,12,13,22,12,2,32
5,11,12,13,22,12,2,1,32
11,12,13,22,12,2,1,7,32
12,13,22,12,2,1,7,1,25
13,22,12,2,1,7,1,3,25
22,12,2,1,7,1,3,13,25
12,2,1,7,1,3,13,7,25
2,1,7,1,3,13,7,12,25
1,7,1,3,13,7,12,2,25
2,1,2,2,7,18,1,6,25
12,1,9,4,20,6,3,2,18
1,9,4,20,6,3,2,1,18
1,9,9,12,13,1,12,4,25
9,9,12,13,1,12,4,3,25
20,1,1,1,12,5,2,1,32
1,1,1,12,5,2,1,4,32
12,6,17,6,6,2,6,1,16
6,17,6,6,2,6,1,1,16
17,6,6,2,6,1,1,4,16
6,6,2,6,1,1,4,11,23
6,2,6,1,1,4,11,12,32
2,6,1,1,4,11,12,21,32
6,1,1,4,11,12,21,21,32
1,1,4,11,12,21,21,1,31
1,4,11,12,21,21,1,6,32
4,11,12,21,21,1,6,1,32
11,12,21,21,1,6,1,15,32
12,21,21,1,6,1,15,20,32
21,21,1,6,1,15,20,1,32
21,1,6,1,15,20,1,1,32
1,6,1,15,20,1,1,1,32
6,1,15,20,1,1,1,4,32
1,15,20,1,1,1,4,1,32
15,20,1,1,1,4,1,1,32
20,1,1,1,4,1,1,1,32
1,1,1,4,1,1,1,20,32
1,1,4,1,1,1,20,12,32
1,4,1,1,1,20,12,6,32
4,1,1,1,20,12,6,9,32
1,1,1,20,12,6,9,12,32
1,1,20,12,6,9,12,1,32
1,20,12,6,9,12,1,20,32
20,12,6,9,12,1,20,10,32
12,6,9,12,1,20,10,1,25
6,9,12,1,20,10,1,11,15
9,12,1,20,10,1,11,23,25
12,1,20,10,1,11,23,11,25
1,20,10,1,11,23,11,12,25
20,10,1,11,23,11,12,12,25
10,1,11,23,11,12,12,2,25
1,11,23,11,12,12,2,13,25
11,23,11,12,12,2,13,2,25
23,11,12,12,2,13,2,4,25
11,12,12,2,13,2,4,7,25
12,12,2,13,2,4,7,2,25
12,2,13,2,4,7,2,2,32
2,13,2,4,7,2,2,4,25
13,2,4,7,2,2,4,12,32
2,4,7,2,2,4,12,12,32
4,7,2,2,4,12,12,12,32
7,2,2,4,12,12,12,15,32
2,2,4,12,12,12,15,4,32
2,4,12,12,12,15,4,3,32
4,12,12,12,15,4,3,15,32
12,12,12,15,4,3,15,1,32
12,12,15,4,3,15,1,3,32
12,15,4,3,15,1,3,1,32
15,4,3,15,1,3,1,13,32
4,3,15,1,3,1,13,5,32
3,15,1,3,1,13,5,5,32
15,1,3,1,13,5,5,5,32
1,3,1,13,5,5,5,5,32
3,1,13,5,5,5,5,13,32
1,13,5,5,5,5,13,13,32
13,5,5,5,5,13,13,1,32
5,5,5,5,13,13,1,15,32
5,5,5,13,13,1,15,13,32
5,5,13,13,1,15,13,13,32
5,13,13,1,15,13,13,3,32
13,13,1,15,13,13,3,13,32
13,1,15,13,13,3,13,13,32
1,15,13,13,3,13,13,4,32
15,13,13,3,13,13,4,12,32
13,13,3,13,13,4,12,15,32
13,3,13,13,4,12,15,15,32
3,13,13,4,12,15,15,2,32
13,13,4,12,15,15,2,15,32
13,4,12,15,15,2,15,12,32
4,12,15,15,2,15,12,12,32
12,15,15,2,15,12,12,12,32
15,15,2,15,12,12,12,2,32
15,2,15,12,12,12,2,20,32
2,15,12,12,12,2,20,2,32
15,12,12,12,2,20,2,1,32
12,12,12,2,20,2,1,2,32
12,12,2,20,2,1,2,4,32
12,2,20,2,1,2,4,6,32
2,20,2,1,2,4,6,11,25
20,2,1,2,4,6,11,9,25
2,1,2,4,6,11,9,2,25
1,2,4,6,11,9,2,1,25
2,4,6,11,9,2,1,12,25
4,6,11,9,2,1,12,4,32
6,11,9,2,1,12,4,2,32
11,9,2,1,12,4,2,1,32
9,2,1,12,4,2,1,1,32
2,1,12,4,2,1,1,1,32
1,12,4,2,1,1,1,9,32
