loss,mape,val_loss,val_mape
0.021387821063399315,136675.53125,0.0077911196276545525,173302.875
0.007481758948415518,43398.60546875,0.008214116096496582,247503.234375
0.00634757149964571,41837.62890625,0.0059904493391513824,149523.984375
0.005519498605281115,47674.60546875,0.005986975505948067,80624.75
0.004787766840308905,43886.13671875,0.004745910409837961,92033.6328125
0.00405324250459671,42263.328125,0.004006688017398119,123551.2734375
0.003777381731197238,38379.484375,0.00430872431024909,176149.640625
0.0035238307900726795,31479.265625,0.003897855756804347,166543.703125
0.0035837588366121054,26863.197265625,0.004003497306257486,69418.3203125
0.0033145747147500515,22852.986328125,0.003576326882466674,75687.0625
0.003343944437801838,30814.74609375,0.003628512378782034,82824.296875
0.0032622169237583876,27217.00390625,0.003833603812381625,79334.0546875
0.0033230562694370747,29588.078125,0.00375449750572443,63309.40234375
0.0031399023719131947,24272.650390625,0.003747102804481983,138062.546875
0.0031586503610014915,21984.04296875,0.0035050399601459503,98341.1796875
0.0031580952927470207,30987.341796875,0.0037470574025064707,55479.9296875
0.0031450106762349606,29514.314453125,0.0034389086067676544,116076.0859375
0.003036532551050186,35512.91015625,0.004219102207571268,188990.15625
0.003088920610025525,31235.36328125,0.0036722575314342976,131752.21875
0.0030863697174936533,31254.900390625,0.003357435343787074,84840.578125
0.0030131551902741194,28728.498046875,0.003460098057985306,70356.21875
0.003011198714375496,23281.927734375,0.0038431265857070684,34638.9375
0.0029641424771398306,36350.48046875,0.003467785893008113,54005.125
0.002964119426906109,27563.375,0.003792281961068511,172597.375
0.0029339054599404335,21444.3515625,0.003951556980609894,174876.640625
0.002957416931167245,37131.70703125,0.0038973274640738964,33860.5859375
0.0029310479294508696,27157.30859375,0.004303105641156435,29847.65234375
0.0028987869154661894,19401.859375,0.0033767041750252247,124885.5703125
0.002855089958757162,29067.83203125,0.003500848077237606,67942.125
0.0028826454654335976,21467.263671875,0.003226792672649026,74597.8046875
0.002812332706525922,23101.19921875,0.003318311646580696,52752.56640625
0.0028115578461438417,23745.6953125,0.0033026232849806547,51815.9140625
0.0028071790002286434,19214.705078125,0.003170780139043927,87736.5546875
0.002816511783748865,22954.412109375,0.003216590965166688,69298.5
0.0027558349538594484,25918.78125,0.0031569083221256733,70514.0546875
0.0027789634186774492,18819.14453125,0.003334806300699711,131742.84375
0.0028126114048063755,21906.318359375,0.0034440739545971155,39527.640625
0.0027915730606764555,28341.64453125,0.0031333628576248884,74525.6171875
0.00277000293135643,25335.794921875,0.0033324207179248333,43707.7890625
0.002742881653830409,23522.3359375,0.003228639019653201,116779.1640625
0.002795138629153371,25155.294921875,0.0031931584235280752,67511.0234375
0.002779246773570776,22678.546875,0.0033113763201981783,124046.7578125
0.0027477876283228397,21581.435546875,0.003164706053212285,81187.4453125
0.002725806087255478,40462.1484375,0.003458710154518485,39863.6796875
0.002720983698964119,20065.625,0.0030972231179475784,91723.328125
